videopath,source,caption,neg_caption,youtube_key,split,misalignment
k600_val_xwN7-Xc-vPg_000386_000396,vatex,A young woman talks as she cooks ribs on a rotisserie over a pit.,A young woman talks as she eats ribs on a rotisserie over a pit.,,train,action
msr-vtt_TrainValVideo_video5734,msr-vtt,a woman gives a review of a new car,a woman gives a review of a new song,T0Y22D-K-lc,train,action
k600_val_PThrG53TNPE_000109_000119,vatex,A man shaves a woman's legs with a pink disposable razor.,A woman shaves a man's legs with a pink disposable razor.,,train,action
k600_val_yf4roTfZu9g_000092_000102,vatex,A competitive arm wrestling match where the commentator narrates the match.,A competitive arm wrestling match where the commentator narrates the match after the match is over,,train,flip
k600_val_fI1YEN-9jCQ_000003_000013,vatex,A little boy is putting a little table back with his family praising him.,A little boy is praising his family with his family putting a little table back,,train,flip
k600_val_ufXJjbXdPMQ_000409_000419,vatex,A man is laying on his back as a woman removes hair from his leg using tape.,A woman removes hair from the man's leg using tape before he lays on his back,,train,flip
tempo_videos_4341,tempo,the nurse hands the girl the baby before the girl shhh the baby,the nurse hands the girl the baby before the girl screams at the baby,,train,action
k600_val_P2y3nBtJX38_000133_000143,vatex,A person is calmly holding some bird food in their hand waiting for some birds to come eat it.,A person is calmly holding some bird food in their hand after some birds come eat it,,train,flip
k600_val_U0z2NCWoViA_000000_000010,vatex,A woman is being lifted by another person while a pop song plays in the background.,A woman is lifting another person while a pop song plays in the background.,,train,action
k600_val_Ca054foMBZ4_000031_000041,vatex,A person is walking on to a stage and people are cheering him,People are cheering him before a person is walking on to a stage,,train,flip
k600_val_kLz1MejP66g_000024_000034,vatex,"A team is playing kickball, a girl bunts the ball and the catcher throws the ball to first base and gets the kicker out.","A team is playing kickball, a girl bunts the ball and the catcher throws the ball to first base and gets the kicker out, and then the girl bunts the ball",,train,flip
msr-vtt_TrainValVideo_video2617,msr-vtt,a women in white going for fashion show at tokyo,a women in white going for a job interview,w_p1aZBnTpo,train,action
k600_val_rVu3BG3xzwc_000247_000257,vatex,Some girls danced on a field in choreography while the crown watched them,Some girls sang on a field in choreography while the crown watched them,,train,action
k600_val_Q33Rs-kmzHs_000070_000080,vatex,A person is stirring eggs and other ingredients together while cheerful music is playing.,A person is stirring eggs and other ingredients together while sad music is playing.,,train,action
tempo_videos_2154,tempo,"an empty street is shown, then a white van comes into view.","a white van comes into view, then an empty street is shown",,train,flip
k600_val_MrSMr3S3lE0_000090_000100,vatex,A very small girl is strumming chords on her guitar and singing along.,A very small girl is playing the piano and singing along.,,train,action
msr-vtt_TrainValVideo_video6230,msr-vtt,a man stands in a room talking about the pope and intestines,"a man stands in a room talking about the pope and intestines, then goes to sleep",1Zo8u9lP_D8,train,flip
tempo_videos_2704,tempo,a green engine approaches before green engine passes us,a green engine passes us before a green engine approaches,,train,flip
msr-vtt_TrainValVideo_video1705,msr-vtt,a man is singing a song and dancing,a man is singing a song and playing guitar,HwctEiWLe84,train,action
msr-vtt_TrainValVideo_video4868,msr-vtt,police chasing a run away car,police chasing a run away car before it ran away,-UNWszs05kU,train,flip
msr-vtt_TrainValVideo_video6000,msr-vtt,bill o reilly is talking about his interview with donald trump,bill o reilly is talking about his interview with hillary clinton,uGEzFbRl-g8,train,action
k600_val_nOnm43fNETs_000010_000020,vatex,A little girl braids a doll's hair as she explains the process.,A little girl braids a doll's hair after she explains the process,,train,flip
msr-vtt_TrainValVideo_video11,msr-vtt,a man singing a sad song,a man singing a happy song,VPup4RRKv5g,train,action
msr-vtt_TrainValVideo_video1429,msr-vtt,several men speak to each other for an interview,several men speak to each other for a debate,6Qr9cbJzHds,train,action
k600_val_2NM6p6Cgq20_000032_000042,vatex,A boy riding a bike at the park while his mother watches over him.,A boy watching over his mother riding a bike at the park,,train,flip
msr-vtt_TrainValVideo_video5609,msr-vtt,a group of people are riding motorcycles around in a circle at a very fast pace in the dark,a group of people are riding bicycles around in a circle at a very fast pace in the dark,uQ8f_5PZWEI,train,action
msr-vtt_TrainValVideo_video3443,msr-vtt,video of some cartoon robots talking,video of some cartoon robots singing,2b-2EB06nDU,train,action
k600_val_w3pJXcjtyyw_000162_000172,vatex,A woman pours soda into a glass and then adds a garnish.,A woman adds a garnish and then pours soda into a glass,,train,flip
k600_val_D5P9DuPQ7e8_000003_000013,vatex,A man is shown cracking his neck in front of the camera.,A man is shown cracking his knuckles in front of the camera.,,train,action
k600_val_HQWHXhlZpgk_000063_000073,vatex,"Kids build a snowman on top of a hill, but it falls over accidentally.","Kids build a snowman on top of a hill, but it falls over intentionally",,train,flip
k600_val_6ZFo6INV4Lc_000047_000057,vatex,A man is kneeling at the corner of a room with a carpet tool explaining how to use the tool to lay the carpet.,A man is kneeling at the corner of a room with a carpet tool laying the carpet.,,train,flip
k600_val_oWz9whBx48c_000023_000033,vatex,A person is pushing a kid in a wheelchairs and throws him in the bushes.,A person throws a kid in the bushes and then pushes him in a wheelchair,,train,flip
msr-vtt_TrainValVideo_video3400,msr-vtt,a person is pouring chicken stock into a cup and mixing it,A person is mixing chicken stock into a cup and then pouring it,Vx1yprdgs80,train,flip
msr-vtt_TrainValVideo_video4059,msr-vtt,men are talking about a burnt cake,men are eating a burnt cake,bCLK6h7RkOI,train,action
k600_val_t4VEW4dG2Hg_000017_000027,vatex,A food dish is being prepared in a skillet while a commentator talks about it.,A food dish is being prepared in a skillet before a commentator talks about it,,train,flip
k600_val_AiJ6Ys7-XB4_000027_000037,vatex,A guy balances on a tight rope then does a flip but falls off the rope.,A guy falls off the rope then balances on a tight rope but does a flip,,train,flip
tempo_videos_10914,tempo,"after coming into view, a van continues past the trees.",a van stops past the trees.,,train,action
k600_val_iEF8R8YCXWg_000004_000014,vatex,A man is burning something in a wooden box and puts the fire out with an extinguisher,A man puts the fire out with an extinguisher and then burns something in a wooden box,,train,flip
k600_val_GhG5PXDqmUY_000008_000018,vatex,A woman attempts to jump over some watery mud and does not succeed and falls face first,A woman falls face first and then attempts to jump over some watery mud and does not succeed,,train,flip
k600_val_bFn4oCx5K58_000322_000332,vatex,A woman peels the leaves off a plant before putting in a vase full of water.,A woman peels the leaves off a plant after putting in a vase full of water,,train,flip
k600_val_w3JgGKsVgsE_000046_000056,vatex,A young woman is being shown how to mix a drink with a brush.,A young woman is being shown how to mix a drink with a spoon.,,train,action
tempo_videos_10558,tempo,the press is shown before the paper is put on,the press is shown after the paper is put on,,train,action
msr-vtt_TrainValVideo_video4113,msr-vtt,someone playing a game of minecraft set to music,someone playing a game of minecraft set to a sound effect,cKHrznnBbao,train,action
k600_val_U5LDFAKgPQ0_000102_000112,vatex,A man with bushy eyebrows and a blonde mustache is whistling then blinks his eyes.,A man with bushy eyebrows and a blonde mustache blinks his eyes and then whistles,,train,flip
k600_val_c-sl7ZRj4NQ_000388_000398,vatex,two man dress in blue and a young ladies dancing bye music.,two man dress in blue and a young ladies singing bye music.,,train,action
k600_val_iT2rFQfLClk_000000_000010,vatex,A martial arts student demonstrates a kicking technique for her instructor as another instructor holds pads.,A martial arts student demonstrates a punching technique for her instructor as another instructor holds pads.,,train,action
msr-vtt_TrainValVideo_video2487,msr-vtt,on a railway a man is taking a video of some riding on the railroad,on a railway a man is riding on the railroad,vscUcqrwQ98,train,action
k600_val_kKaGp6efPPY_000000_000010,vatex,A man works out with 2 ropes at a gym to music.,A man works out with 2 weights at a gym to music.,,train,action
msr-vtt_TrainValVideo_video3489,msr-vtt,a person is playing a video game and talking,a person is talking and then playing a video game,bxK39LktdAg,train,flip
msr-vtt_TrainValVideo_video2877,msr-vtt,the video contains classic basketball games from the past,the video contains classic baseball games from the past,8vvdcViBv_M,train,action
msr-vtt_TrainValVideo_video3350,msr-vtt,cooking some kind of food,eating some kind of food,kbjjQ37YOGw,train,action
k600_val_tChIbM9u7t0_000003_000013,vatex,A person falls on a mattress and onto the floor while the person recording the video goes to them laughing.,A person falls onto the floor and onto a mattress while the person recording the video goes to them laughing,,train,flip
k600_val_Yb-O6DHPrPQ_000007_000017,vatex,A baby boy is being held by his father and laughing.,A baby boy is being held by his father and crying,,train,flip
k600_val_P1Q-D0gw734_000056_000066,vatex,a male person giving a hand to a friend before jumping a parachute,a male person jumping a parachute before giving a hand to a friend,,train,flip
msr-vtt_TrainValVideo_video6479,msr-vtt,showing parts of a high school,showing parts of a college,1WT5WbBt_fQ,train,action
k600_val_Y6GvJycngWI_000038_000048,vatex,A woman is jogging  on the highway in the middle of traffic in a bikini,A woman is driving  on the highway in the middle of traffic in a bikini,,train,action
k600_val_D3cbdvK7B9U_000022_000032,vatex,A man lifts a large weight over his head and then drops it to the floor.,A man drops a large weight over his head and then lifts it to the floor,,train,flip
msr-vtt_TrainValVideo_video516,msr-vtt,a hottie dances in the studio to rap,a hottie dances in the studio to classical music,OZXyJS1EEdA,train,action
k600_val_VGL7tDQ5bXw_000014_000024,vatex,A very young boy seated at a table is eating strands of spaghetti while a female adult talks to him.,A very young boy seated at a table is eating strands of spaghetti after a female adult talks to him,,train,flip
tempo_videos_4055,tempo,the camera pans away from the sun after seeing the pink beam of light.,the camera pans away from the sun before seeing the pink beam of light,,train,flip
k600_val_lbMhI7UCCG8_000029_000039,vatex,Several people race in lanes in a swimming pool doing the breaststroke while people watch and encourage them.,Several people encourage people watching them race in lanes in a swimming pool doing the breaststroke,,train,flip
k600_val_cb1ZfTSnNBk_000018_000028,vatex,An elderly women and three kids are playing a slapping game.,An elderly women and three kids are playing a hugging game.,,train,action
msr-vtt_TrainValVideo_video2854,msr-vtt,little girl sits in a small child s car before driving off while playing hip-hop music,Little girl drives off while playing hip-hop music before sitting in a small child s car,MR854-Cr-Ds,train,flip
msr-vtt_TrainValVideo_video5314,msr-vtt,some is teaching cooking,some is learning cooking,pRK4UTo4cGU,train,action
msr-vtt_TrainValVideo_video4623,msr-vtt,men giving groceries to homeless,men giving money to homeless,BVyKFDNp5uQ,train,action
msr-vtt_TrainValVideo_video491,msr-vtt,crowd cheers as wrestlers walk onto the stage,crowd cheers as wrestlers walk off the stage,2M2KsblqMG0,train,action
msr-vtt_TrainValVideo_video5410,msr-vtt,a gentleman is giving directions for a recipe for making a sauce in a blender,a gentleman is making a sauce in a blender before giving directions for a recipe,Ya0eXpd1eiU,train,flip
tempo_videos_3996,tempo,the baby is seen before the mother is seen.,the mother is seen before the baby is seen,,train,flip
k600_val_psoO1gCswUU_000016_000026,vatex,A man is doing the robot dance with a drill in his hand.,A man is doing the robot dance with a hammer in his hand.,,train,action
msr-vtt_TrainValVideo_video4098,msr-vtt,cute animated characters in a wooded area are being mutilated and eaten by other animated animals,Cute animated characters in a wooded area are eating and mutilating other animated animals,Q2J1fbNFqQY,train,flip
tempo_videos_10647,tempo,the camera gets very shaky before it goes underwater.,the camera gets very shaky before it goes into space.,,train,action
msr-vtt_TrainValVideo_video4471,msr-vtt,a man playing a video game with his character running around a hallway,a man playing a video game with his character walking around a hallway,c0uW5eQqQjM,train,action
msr-vtt_TrainValVideo_video6984,msr-vtt,man talking about squirels,man talking about cats,9Gr5P-36w1Q,train,action
msr-vtt_TrainValVideo_video2279,msr-vtt,a woman has been hit in the face with a volley ball,a woman has been hit in the face with a basketball,rJkr3zT9RTo,train,action
msr-vtt_TrainValVideo_video2023,msr-vtt,a family is talking to each other,a family is fighting with each other,6g8mzywIWTs,train,action
msr-vtt_TrainValVideo_video3120,msr-vtt,a man in black dress is saying something about table tennis game,a man in black dress is playing table tennis game,_Zq-OHCNx7o,train,action
k600_val_DTW7HuqKNok_000075_000085,vatex,A man was pushing a car on the road and the second man sat in front of the car,A man sat in front of the car and the second man was pushing a car on the road,,train,flip
k600_val_iqkx0rrCUCo_000003_000013,vatex,A young boy attempts to jump over a folding chair and break a board with his foot but fails.,A young boy breaks a board with his foot but fails to jump over a folding chair,,train,flip
k600_val_u7kxeykJamo_000338_000348,vatex,A boy is grimacing while getting his eyebrows plucked with tweezers.,A boy is grimacing while getting his eyebrows shaved with tweezers.,,train,action
k600_val_rUNXU7WyiLs_000022_000032,vatex,A person is showing how a mixer rotates to make music.,A person is showing how a mixer rotates to make a drink.,,train,action
k600_val_jDTfMSxMSjQ_000112_000122,vatex,Two people lay on surfboards in the ocean on the crest of a small wave then one come over to talk.,Two people come over to talk then lay on surfboards in the ocean on the crest of a small wave,,train,flip
k600_val_WFCuT1GFjeg_000006_000016,vatex,A person makes a sandwich with many toppings and then proceeds to eat it.,A person eats the sandwich before they make it with many toppings,,train,flip
tempo_videos_8417,tempo,yellow flowers are seen in the woods before the camera zooms out.,yellow flowers are seen in the woods before the camera zooms in.,,train,action
msr-vtt_TrainValVideo_video1085,msr-vtt,a young man talks about being on a podium and his expectations,a young man talks about being on a podium and his expectations after he wins a medal,vQ8bUGsR5G0,train,flip
k600_val_qrX05sAntoA_000064_000074,vatex,A boy is dribbling a basketball around other team players while others are talking and running.,A boy is dribbling a basketball around other team players while others are talking and standing still,,train,flip
k600_val_wMKKmjly7JM_000139_000149,vatex,A man is windsurfing on the water and jumps high toward the sky.,A man is windsurfing on the water and falls into the sea.,,train,action
k600_val_NdT51N56w9M_000014_000024,vatex,A group of very strong men wearing skits are throwing large objects around.,A group of very strong men wearing skits are lifting large objects.,,train,action
k600_val_XQL5AvGKXeU_000025_000035,vatex,Someone is using a wet mop on a floor and then switches over to a different mop.,Someone switches over to a different mop and then uses a wet mop on a floor,,train,flip
k600_val_ynbLIJr-14E_000015_000025,vatex,A window cleaner is talking about a business man that he has worked for a long time and respects.,A window cleaner is talking about a business man that he has worked for a short time and respects.,,train,action
k600_val_HN6A0mT9kuc_000000_000010,vatex,A man showing you how to do a bent arm stretch in a gymnasium,A man showing you how to do a bent arm stretch in a classroom,,train,action
k600_val_4nnxH-5KC2c_000000_000010,vatex,A catcher catches the ball that was pitched and then throws it to the baseman to stop a boy from stealing a base.,A catcher throws the ball to the baseman to stop a boy from stealing a base and then catches the ball that was pitched,,train,flip
k600_val_1G05xgDNVeM_000021_000031,vatex,A man does multiple tricks while riding his bike and then decides to some stretching exercise.,A man decides to do some stretching exercise and then does multiple tricks while riding his bike,,train,flip
k600_val_Emp6jM1B8p8_000065_000075,vatex,A man puts sunglasses on then jumps on his bike and starts to get going.,A man jumps on his bike and starts to get going then puts sunglasses on,,train,flip
tempo_videos_603,tempo,yellow thing appears before a hand is seen placing something down.,a hand is seen placing something down before yellow thing appears,,train,flip
k600_val_W4Q8r7zewqI_000002_000012,vatex,a man in a football field kicking a field goal,a man in a football field throwing a field goal,,train,action
msr-vtt_TrainValVideo_video1189,msr-vtt,bill o reilly discussing stop and frisk policy,bill o reilly discussing stop and frisk policy with a woman,6Ed5NOQICAY,train,action
k600_val_Ecs9-SCnhcY_000153_000163,vatex,A woman is showing how to bead a bracelet and explaining how to do it.,A woman is explaining how to bead a bracelet before she shows how to do it,,train,flip
k600_val_-Qz25rXdMjE_000014_000024,vatex,An inexperienced woman draws a mismatched recurve bow and shoots.,An inexperienced woman shoots and then draws a mismatched recurve bow,,train,flip
msr-vtt_TrainValVideo_video6527,msr-vtt,girl talking about her hair,girl talking about her nails,mcStWSaWS_c,train,action
k600_val_5KBuLjINIQg_000056_000066,vatex,A woman is playing the organ while another watches and comments.,A woman watches and comments while another is playing the organ,,train,flip
k600_val_eG-DeM1L2GA_000093_000103,vatex,A kid shows his parents that he can blow his nose with a tissue and then runs away.,A kid runs away before showing his parents that he can blow his nose with a tissue,,train,flip
k600_val_f4Fk9DrDmJA_000001_000011,vatex,"Mom trimming little girls hair while she holds the kitten, and when she screams kitten is frightened.","Mom trimming little girls hair while she holds the kitten, and when kitten is frightened she screams.",,train,flip
k600_val_x6hgQTyoZmU_000207_000217,vatex,A group of kite surfers are demonstrating their craft at a lake.,A group of kite surfers are demonstrating their craft at a beach.,,train,action
msr-vtt_TrainValVideo_video3676,msr-vtt,parrot fighting with the cat and making it to fall on flour,The cat makes the parrot fall on flour,xaibRAJ-Hjo,train,flip
k600_val_EWqDsdgGIS8_000004_000014,vatex,A little boy sitting on a woman's lap is grooving to the music playing in the vehicle.,A little boy sitting on a woman's lap is sleeping to the music playing in the vehicle.,,train,action
k600_val_M1X8UKqQDvA_000074_000084,vatex,A baby is sitting at a piano on a woman's lap and is repeatedly striking the keys.,A baby is sitting at a piano on a woman's lap and is repeatedly striking the keys after the woman is playing the piano,,train,flip
msr-vtt_TrainValVideo_video2141,msr-vtt,a man is speaking at an event but the background is a woman talking about how much she loves france,A man is speaking at an event but the background is a woman talking about how much she hates france,XdTmO-uB2r8,train,flip
k600_val_-fJ4Fq583ec_000051_000061,vatex,A group of people are sailing over a body of water on a windy day.,A group of people are rowing over a body of water on a windy day.,,train,action
k600_val_zoSY1SpTrCc_000000_000010,vatex,A black man is giving an exercise demo at a gym.,A black man is giving a dance demo at a gym.,,train,action
k600_val_LoXKRzw5nBs_000009_000019,vatex,A person counting money at a desk while someone in the background tells him to hurry.,A person telling someone in the background to hurry while counting money at a desk,,train,flip
k600_val_FcyIa1Fmg9A_000033_000043,vatex,a baby is laying back on the bed as the mom speaks to him,a baby is speaking to the mom as he lays back on the bed,,train,flip
msr-vtt_TrainValVideo_video265,msr-vtt,a man narrates about the delph university,a man writes about the delph university,6QUP_qlXjY0,train,action
msr-vtt_TrainValVideo_video6478,msr-vtt,a female giving commentary and a short review for a new video game,A female giving commentary and a short review for a new video game after she plays the game,4PkFlgGzi8A,train,flip
k600_val_436nTI4VkCk_000000_000010,vatex,A person is in the mountains riding their bike through snowy terrain.,A person is in the mountains skiing through snowy terrain.,,train,action
msr-vtt_TrainValVideo_video1236,msr-vtt,gameplay footage of someone playing a game,gameplay footage of someone watching a game,-ad1REU_H3Y,train,action
k600_val_M1ZDe5GSC24_000058_000068,vatex,A man sleeping and drooling in bed being hugged by a woman.,A man is hugging a woman in bed after he is sleeping and drooling,,train,flip
k600_val_XrIBaBdnmDQ_000000_000010,vatex,three people sitting riding a swing air ride listen to music in the air.,three people listen to music in the air before riding a swing air ride,,train,flip
k600_val_xyRWiFFONQE_000013_000023,vatex,Text in Spanish appear while music plays then a man gets on a unicycle.,Text in Spanish appear while music plays then a man gets off a unicycle.,,train,action
k600_val_zvjNnDhUTxE_000034_000044,vatex,A girl watches as a boy shaves his legs in the tub.,A girl shaves her legs in the tub as a boy watches,,train,flip
k600_val_mfkizZv91-I_000367_000377,vatex,"A troupe of young girls are doing a dance routine in front of a crowd, while music is playing.","A troupe of young girls are doing a dance routine in front of a crowd, while they are singing.",,train,action
msr-vtt_TrainValVideo_video1243,msr-vtt,a man playing a piano in a formal living room,a man looking at a piano in a formal living room,Vp3LMFvboGo,train,action
k600_val_q7tvMXsXCXQ_000001_000011,vatex,During a football game a quarterback throws a football to a receiver that is in the end zone.,During a football game a receiver that is in the end zone throws a football to a quarterback,,train,flip
k600_val_7REDW12JLyM_000048_000058,vatex,A person is showing how a baby is blowing there birthday candles.,A person is showing how a baby is lighting there birthday candles.,,train,action
k600_val_NnexTwOgWR8_000007_000017,vatex,A man swings at a ball at the plate and hits it into the outfield.,A man hits it into the outfield and then swings at a ball at the plate,,train,flip
tempo_videos_185,tempo,a man gives the musician some money and then walks away,A man walks away and then gives the musician some money,,train,flip
k600_val_Ag4oX08NclY_000087_000097,vatex,A man drives a lawn mower with a little girl sitting on his lap and helping him out.,A man drives a lawn mower with a little girl sitting on his lap and helping him out after the girl drives the lawn mower,,train,flip
k600_val_tizjFsLUSCs_000008_000018,vatex,A spelunker finds that the way out of the cave is very high and their climbing gear lays at their feet.,A spelunker finds that the way out of the cave is very high and their climbing gear is hanging on the wall.,,train,action
k600_val_qHNbc4EYQR0_000002_000012,vatex,A little girl plays hopscotch on a patio while music plays.,A little girl walks on a patio while music plays.,,train,action
msr-vtt_TrainValVideo_video3374,msr-vtt,a person take the cd cases and shows to make some designs breaking it,a person takes the cd cases and shows to make some designs without breaking it,YMMN72IfwAs,train,flip
msr-vtt_TrainValVideo_video2279,msr-vtt,a female volleyball player is hit in the face with the ball during a match,a female volleyball player hits herself in the face with the ball during a match,rJkr3zT9RTo,train,action
k600_val_rmZd2zjm8jk_000025_000035,vatex,a person by a pencil sharpener showing other people how to sharpen a pencil,a person by a pencil sharpener showing other people how to sharpen a pencil after a woman is sharpening a pencil,,train,flip
msr-vtt_TrainValVideo_video4999,msr-vtt,a man in a green hat and white shirt is being interviewed in front of a horse when the horse decides to go to the bathroom,a man in a green hat and white shirt is being interviewed in front of a horse when the horse decides to go to the bathroom after the man is interviewed,V0bv5JZMYcY,train,flip
msr-vtt_TrainValVideo_video657,msr-vtt,a young woman describes her feelings about her favorite show s finale,a young woman describes her feelings about her favorite show s premiere,w3GFq6zoZEI,train,action
msr-vtt_TrainValVideo_video4289,msr-vtt,spongebob and squidward are talking to eachother at the crusty crab,spongebob and squidward are fighting to eachother at the crusty crab,ctjtpMxVjzw,train,action
k600_val_Hlx8XP-VZv4_000068_000078,vatex,A girl is lying on the couch crying and screaming and then sits up.,A girl sits up on the couch and then cries and screams,,train,flip
k600_val_YxMzRRdhrfw_000256_000266,vatex,A group practices a song and dance with pom poms.,A group practices a song and dance with pom poms after they eat lunch,,train,flip
k600_val_CaTS2HVYLbE_000368_000378,vatex,"A person ""skiing"" on a skateboard. Other people skiing around him.",A person skiing on a skateboard before other people skiing around him,,train,flip
k600_val_mUwsvKpuIJE_000010_000020,vatex,Three people twirl hula-hoops and glowing balls on strings around to music.,"Three people twirl hula-hoops and glowing balls on strings around to music, then they start dancing",,train,flip
k600_val_AYyvCKNDct8_000013_000023,vatex,A man recording the woman sitting next to him in a helicopter then shows the view.,A man shows the view in a helicopter then records the woman sitting next to him,,train,flip
k600_val_Mhe-RMJHl6I_000043_000053,vatex,The music is playing in the background and the man in the blue is dancing while others look on.,The music is playing in the background and the man in the blue is sitting while others look on.,,train,action
k600_val_KZ3Q-O6XKfk_000000_000010,vatex,A toddler is watching a baby on a screen laugh at something.,A toddler is watching a baby on a screen cry at something.,,train,action
k600_val_AhQtAKiEWUc_000003_000013,vatex,a little boy is running to kick a football over the gold post.,A little boy is kicking a football over the gold post and then running,,train,flip
tempo_videos_3184,tempo,the pitcher throws the ball then the batter hits it.,The batter hits the ball then the pitcher throws it,,train,flip
k600_val_igrSpbAaU0c_000267_000277,vatex,A wall runner doing different jumps in different places of a city.,A wall runner doing different jumps in different places of a city before he starts to run,,train,flip
k600_val_p-RsInF3YVc_000307_000317,vatex,Several people sit around a table and prepare to eat a meal.,Several people sit around a table and prepare to play a game.,,train,action
k600_val_U1mu9Cyn4UE_000008_000018,vatex,A woman is guiding her child to dive off the board at the pool.,A woman is guiding her child to dive off the board at the pool after the child dives off the board,,train,flip
msr-vtt_TrainValVideo_video6428,msr-vtt,a guy in a wig talking about food and nutella,a guy in a wig talking about food and nutella after eating nutella,Cfb5yW-Ev60,train,flip
k600_val_dOkOEttgvuw_000105_000115,vatex,a man performs an oil change on a car to teach others how to do it.,a man performs an oil change on a car to teach others how to do it wrong.,,train,action
k600_val_4NXbB0B3p38_000057_000067,vatex,A man has his entire back waxed to remove body hair.,A man has his entire back shaved to remove body hair.,,train,action
k600_val_xXUBvpdzVTM_000002_000012,vatex,A woman is speaking about a town hall meeting about a national womens right project.,A man is speaking about a town hall meeting about a national womens right project.,,train,action
k600_val_yuIdHtakhRU_000216_000226,vatex,Two teams of men play badminton on an indoor court.,Two teams of men play tennis on an indoor court.,,train,action
msr-vtt_TrainValVideo_video225,msr-vtt,a woman stirs a green vegetable in a pot then checks her shrimp dish,A woman checks her shrimp dish before stirring a green vegetable in a pot,umnIl5HKIZA,train,flip
msr-vtt_TrainValVideo_video4957,msr-vtt,the lead singer of a rock band speaks in an interview,the lead singer of a rock band sings in an interview,s97dUZpsrjY,train,action
tempo_videos_1927,tempo,"after briefly disappearing, the man with the backpack reappears again adjusting the camera.",the man with the backpack reappears again adjusting the camera before briefly disappearing,,train,flip
msr-vtt_TrainValVideo_video5148,msr-vtt,woman try ing to rember what she put in her recipe,woman try ing to forget what she put in her recipe,wosdFg-7YpI,train,action
msr-vtt_TrainValVideo_video3310,msr-vtt,a lady wearing black and brown color tops is telling how to clean the sink pipe with the help of boiling water,a lady wearing black and brown color tops is telling how to clean the sink pipe with the help of cold water,WswT0Cj3V-k,train,action
tempo_videos_5782,tempo,girl disappears from frame then a gold and white thing appears,girl disappears from frame then a gold and white thing disappears,,train,action
k600_val_EfAirEf6BvA_000012_000022,vatex,A woman training her dog how to shake paws with her.,A woman training her dog how to shake paws with her after the dog shakes paws with her,,train,flip
tempo_videos_920,tempo,girl drops egg in left cup before little girl puts her hand in blue dye,girl puts her hand in blue dye before dropping egg in left cup,,train,flip
k600_val_MHJDFRjxO2w_000006_000016,vatex,A man and a woman square off in a circle of people who are playing instruments and singing.,A man and a woman square off in a circle of people who are playing instruments and singing after they take a picture,,train,flip
k600_val_9XpRtKjcUQo_000056_000066,vatex,a baby in a high chair eating and don't like his food,a baby in a high chair playing and don't like his food,,train,action
k600_val_Kr4iUI1mTZY_000004_000014,vatex,A man is going very fast in a snowly landscape pulled by a dog sled.,A man is going very slow in a snowly landscape pulled by a dog sled.,,train,action
k600_val_3hAAkDhHS8w_000024_000034,vatex,A young child in a restaurant learns to eat tortilla chips with queso dip,A young child in a restaurant learns to eat tortilla chips without queso dip,,train,action
msr-vtt_TrainValVideo_video6355,msr-vtt,the judges talk to a young girl who has just competed in a singing competition,The judges talk to a young girl before she has just competed in a singing competition,jN7BdcYzb2o,train,flip
k600_val_OzMhKch4Npo_000028_000038,vatex,A man walking through a golf field while displaying his product for caddies or golfers.,A man walks through a golf field after displaying his product for caddies or golfers,,train,flip
k600_val_Wy82yDOy8fw_000057_000067,vatex,A man talks about everyone having a baseline of endorphins.,A man talks about everyone having a baseline of oxygen.,,train,action
k600_val_Hu4OX-8jzoc_000002_000012,vatex,A man is coached on doing reverse lunges in the gym.,A man is coached on doing squats in the gym.,,train,action
k600_val_1Q-E6UW1XE8_000011_000021,vatex,A guy is practicing hitting golf balls while music is playing in the background.,A guy is practicing hitting baseballs while music is playing in the background.,,train,action
tempo_videos_11456,tempo,woman is pushed in the rail car before being stopped and almost falling.,woman is pulled in the rail car before being stopped and almost falling.,,train,action
k600_val_uDvm3QQr2oA_000045_000055,vatex,A group of cheerleaders are dancing in a small auditorium.,A group of cheerleaders are sitting in the auditorium.,,train,action
k600_val_pvktE87ZtM8_000018_000028,vatex,A group of people are clapping while music is playing and two people are dancing in the center.,A group of people are dancing in the center while music is playing and two people are clapping,,train,flip
k600_val_FUX5NN3MnLg_000034_000044,vatex,The mother is filming her son taking a black dog for a walk.,The mother takes a black dog for a walk while filming her son,,train,flip
tempo_videos_3552,tempo,the light is green before changing to red.,The light is red before changing to green.,,train,flip
msr-vtt_TrainValVideo_video2042,msr-vtt,a man summarizes what went on in a movie while a cartoon visual plays in the background,a man summarizes what went on in a movie before a cartoon visual plays in the background,xw9Au9OoN88,train,flip
k600_val_LBgRTCVwyik_000042_000052,vatex,a man using a knife to carve and cut small pieces of water melon as he uses a bowl to scoop out the pieces,a man using a knife to carve and cut small pieces of water melon as he uses a spoon to scoop out the pieces,,train,action
k600_val_zI42eGmp4Q0_000119_000129,vatex,A group of people watching a couple dance to jazz music.,A group of people watching a couple dance to rock music.,,train,action
k600_val_Om4GahZVzZc_000339_000349,vatex,A woman is in a gym and is jumping over hurdles backwards and forwards,A woman is in a gym and is jumping over hurdles forward before jumping backwards,,train,flip
k600_val_MLf1bWW6tIs_000020_000030,vatex,A man struggles to get upright on a wind surfing board and as he eventually does so he promptly falls into the water.,A man falls into the water and then struggles to get upright on a wind surfing board,,train,flip
k600_val_SUop-aJn8Do_000000_000010,vatex,A man talks to his friend and then blows his nose.,A man blows his nose and then talks to his friend,,train,flip
